id,imdb_id,original_title,title,genres,release_date,budget,revenue,popularity,vote_average,vote_count,runtime
290859,tt6450804,Terminator: Dark Fate,Terminator: Dark Fate,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2019-10-23,185000000,261119292,173.06,6.5,3519,128
317442,tt3717532,The Last: Naruto the Movie,The Last: Naruto the Movie,"[{'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}]",2014-12-06,0,0,174.18,7.8,932,114
429617,tt6320628,Spider-Man: Far From Home,Spider-Man: Far From Home,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2019-06-28,160000000,1131927996,177.271,7.5,9988,129
347201,tt4618398,BORUTO -NARUTO THE MOVIE-,Boruto: Naruto the Movie,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}]",2015-08-07,0,0,178.145,7.7,787,100
509967,tt8106534,6 Underground,6 Underground,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}]",2019-12-10,150000000,0,181.696,6.3,3157,128
458156,tt6146586,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",2019-05-15,55000000,326709727,182.237,7.4,6843,130
299534,tt4154796,Avengers: Endgame,Avengers: Endgame,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",2019-04-24,356000000,2797800564,212.225,8.3,18313,181
512200,tt7975244,Jumanji: The Next Level,Jumanji: The Next Level,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",2019-12-04,125000000,796575993,213.15,7.0,5863,123
461130,tt6259380,Code 8,Code 8,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",2019-12-06,0,157209,214.652,6.2,1233,99
335983,tt1270797,Venom,Venom,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",2018-09-28,116000000,855013954,234.429,6.8,10883,112
607383,tt7286836,Aquaslash,Aquaslash,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",2019-07-29,0,0,242.961,3.9,60,72
299536,tt4154756,Avengers: Infinity War,Avengers: Infinity War,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",2018-04-25,300000000,2046239637,255.24,8.3,21969,149
592350,tt11107074,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,My Hero Academia: Heroes Rising,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",2019-12-20,0,29900850,320.648,8.5,731,104
475557,tt7286456,Joker,Joker,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",2019-10-02,55000000,1074251311,372.847,8.2,17824,122
384018,tt6806448,Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",2019-08-01,200000000,760098996,386.694,6.9,4968,137
647302,tt3917506,Benny Loves You,Benny Loves You,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",2019-11-21,0,0,460.259,6.0,40,94
581387,tt11285908,백두산,Ashfall,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",2019-12-19,17700000,61321941,508.05,6.5,274,128
138843,tt1457767,The Conjuring,The Conjuring,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2013-03-20,13000000,319494638,563.441,7.5,8329,112
259693,tt3065204,The Conjuring 2,The Conjuring 2,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2016-05-13,40000000,320392818,677.517,7.2,5992,134
447332,tt6644200,A Quiet Place,A Quiet Place,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",2018-04-03,17000000,340677200,784.093,7.4,9882,91
537915,tt4126476,After,After,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2019-04-11,14000000,69497587,129.501,7.2,6275,106
453405,tt1025100,Gemini Man,Gemini Man,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2019-10-02,138000000,173469516,129.509,6.4,3704,117
400155,tt5220122,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}]",2018-06-28,80000000,100176000,130.732,6.9,3121,97
299537,tt4154664,Captain Marvel,Captain Marvel,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2019-03-06,152000000,1128276090,132.612,6.9,11461,124
572154,tt10472884,青春ブタ野郎はゆめみる少女の夢を見ない,Rascal Does Not Dream of a Dreaming Girl,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",2019-06-15,0,0,134.593,8.5,274,90
578189,tt7390646,Black and Blue,Black and Blue,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",2019-10-25,12000000,22741061,134.704,6.7,508,109
333339,tt1677720,Ready Player One,Ready Player One,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",2018-03-28,175000000,582890172,134.994,7.6,11485,140
287947,tt0448115,Shazam!,Shazam!,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",2019-03-29,80000000,365971656,135.171,7.1,6557,132
181812,tt2527338,Star Wars: The Rise of Skywalker,Star Wars: The Rise of Skywalker,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2019-12-18,250000000,1074144248,135.977,6.5,6767,142
486589,tt4429160,Red Shoes And The Seven Dwarfs,Red Shoes And The Seven Dwarfs,"[{'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]",2019-07-25,0,5362776,140.852,7.7,720,92
560192,tt8380776,Grand Isle,Grand Isle,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",2019-12-06,0,0,143.459,6.0,169,97
